Date,Open,High,Low,Close,Adj Close,Volume
2011-11-07,216.839996,220.199997,208.100006,217.389999,217.389999,22662800
2011-11-14,215.649994,222.350006,197.110001,197.139999,197.139999,34191200
2011-11-21,193.289993,194.600006,181.509995,182.399994,182.399994,34220100
2011-11-28,191.649994,199.660004,187.300003,196.029999,196.029999,36353300
2011-12-05,198.860001,199.000000,188.399994,193.029999,193.029999,27071300
2011-12-12,190.029999,191.149994,170.250000,181.259995,181.259995,39178700
2011-12-19,182.000000,183.500000,172.490005,177.279999,177.279999,25391800
2011-12-26,177.729996,178.589996,166.970001,173.100006,173.100006,19099500
2012-01-02,175.889999,184.649994,174.050003,182.610001,182.610001,20133500
2012-01-09,182.759995,184.369995,173.500000,178.419998,178.419998,22284700
2012-01-16,180.149994,195.940002,178.509995,190.929993,190.929993,25824300
2012-01-23,190.789993,196.500000,183.820007,195.369995,195.369995,24098100
2012-01-30,193.679993,195.630005,172.000000,187.679993,187.679993,56389700
2012-02-06,186.279999,187.630005,181.759995,185.539993,185.539993,28876800
2012-02-13,187.169998,193.570007,175.139999,182.500000,182.500000,43374800
2012-02-20,182.649994,184.750000,176.960007,179.130005,179.130005,21364400
2012-02-27,177.539993,184.289993,176.500000,179.300003,179.300003,23364800
2012-03-05,179.000000,188.380005,178.039993,184.320007,184.320007,23978500
2012-03-12,184.130005,185.679993,180.300003,185.050003,185.050003,19787200
2012-03-19,183.449997,196.199997,182.880005,195.039993,195.039993,27006800
2012-03-26,196.479996,209.850006,195.500000,202.509995,202.509995,33608800
2012-04-02,198.020004,202.389999,192.360001,194.389999,194.389999,20105400
2012-04-09,192.020004,194.199997,185.610001,188.460007,188.460007,19388400
2012-04-16,189.009995,194.550003,183.649994,189.979996,189.979996,18121400
2012-04-23,188.990005,228.690002,185.509995,226.850006,226.850006,43163300
2012-04-30,223.949997,233.839996,223.050003,223.990005,223.990005,29745900
2012-05-07,222.360001,230.679993,218.199997,227.679993,227.679993,20390700
2012-05-14,225.600006,230.610001,212.809998,213.850006,213.850006,23809300
2012-05-21,214.029999,219.979996,211.179993,212.889999,212.889999,16869200
2012-05-28,214.300003,216.550003,207.110001,208.220001,208.220001,15667600
2012-06-04,207.399994,221.490005,206.369995,218.479996,218.479996,16934500
2012-06-11,217.490005,220.869995,212.559998,218.350006,218.350006,15753700
2012-06-18,217.279999,226.029999,216.729996,222.160004,222.160004,13561100
2012-06-25,220.300003,228.350006,218.000000,228.350006,228.350006,15544800
2012-07-02,229.300003,230.500000,224.179993,225.050003,225.050003,9547900
2012-07-09,225.000000,227.139999,212.610001,218.389999,218.389999,12476900
2012-07-16,216.600006,229.389999,213.960007,228.289993,228.289993,15703600
2012-07-23,224.720001,238.339996,214.949997,237.320007,237.320007,32421800
2012-07-30,237.000000,240.740005,228.660004,234.970001,234.970001,15607200
2012-08-06,235.559998,238.000000,231.429993,232.750000,232.750000,8836900
2012-08-13,232.229996,243.350006,231.000000,241.169998,241.169998,15410900
2012-08-20,241.369995,246.869995,238.199997,245.740005,245.740005,13087800
2012-08-27,245.789993,250.000000,243.000000,248.270004,248.270004,14439600
2012-09-03,248.270004,259.420013,244.660004,259.140015,259.140015,16994300
2012-09-10,259.000000,264.109985,253.500000,261.269989,261.269989,14557000
2012-09-17,261.250000,262.839996,256.739990,257.470001,257.470001,16131000
2012-09-24,255.220001,258.950012,248.229996,254.320007,254.320007,15888200
2012-10-01,255.399994,261.899994,249.029999,258.510010,258.510010,13029500
2012-10-08,257.670013,259.799988,241.889999,242.360001,242.360001,14855900
2012-10-15,242.850006,250.910004,238.509995,240.000000,240.000000,18167200
2012-10-22,238.809998,238.949997,222.919998,238.240005,238.240005,30718300
2012-10-29,236.320007,238.699997,230.500000,232.419998,232.419998,12077400
2012-11-05,232.039993,237.750000,224.600006,226.309998,226.309998,14206500
2012-11-12,226.589996,229.220001,218.179993,225.229996,225.229996,15550200
2012-11-19,228.320007,240.000000,227.449997,239.880005,239.880005,11099000
2012-11-26,240.389999,252.649994,238.000000,252.050003,252.050003,19078100
2012-12-03,252.539993,255.550003,248.660004,253.270004,253.270004,14685700
2012-12-10,253.100006,254.779999,246.649994,249.190002,249.190002,15304200
2012-12-17,249.809998,263.109985,249.259995,256.920013,256.920013,16827200
2012-12-24,257.299988,259.500000,242.860001,245.179993,245.179993,10635100
2012-12-31,243.750000,260.880005,242.750000,259.149994,259.149994,11315100
2013-01-07,262.970001,269.730011,262.299988,267.940002,267.940002,15463000
2013-01-14,268.000000,274.500000,267.540009,272.119995,272.119995,13494100
2013-01-21,271.619995,284.720001,266.649994,283.989990,283.989990,13031700
2013-01-28,283.779999,284.480011,258.350006,265.000000,265.000000,40456500
2013-02-04,262.779999,268.029999,255.110001,261.950012,261.950012,18361800
2013-02-11,263.200012,270.649994,256.600006,265.089996,265.089996,19083300
2013-02-18,265.910004,274.299988,261.609985,265.420013,265.420013,13145300
2013-02-25,266.940002,268.690002,255.729996,265.739990,265.739990,14913300
2013-03-04,265.359985,276.679993,264.140015,274.190002,274.190002,13008700
2013-03-11,273.429993,277.399994,260.049988,261.820007,261.820007,17127900
2013-03-18,259.299988,261.489990,252.070007,257.750000,257.750000,15128600
2013-03-25,258.579987,267.380005,254.500000,266.489990,266.489990,10283500
2013-04-01,266.980011,267.399994,253.669998,255.479996,255.479996,12091500
